RANK,SEASON,TEAM,PLAYOFF_TEAM,AVERAGE_AGE,W,L,W/L%,PW,PL,MOV,SOS,SRS,ORTG,DRTG,NRTG,PACE,FT_RATE,3PA_RATE,TS%,OFFENSIVE_EFG%,OFFENSIVE_TOV%,OFFENSIVE_ORB%,OFFENSIVE_FT/FGA,DEFENSIVE_eFG%,DEFENSIVE_TOV%,DEFENSIVE_DRB%,DEFENSIVE_FT/FGA,ARENA,TOTAL_ATTENDANCE,ATTENDANCE/G
28.0,2015-2016,Brooklyn Nets,0,26.9,21.0,61.0,0.25609756097560976,22,60,-7.35,0.24,-7.12,103.2,110.9,-7.7,95.2,0.24600000000000002,0.218,0.527,0.49200000000000005,13.6,24.1,0.18600000000000003,0.534,13.1,75.7,0.17600000000000002,Barclays Center,620142,15125
29.0,2015-2016,Los Angeles Lakers,0,26.5,17.0,65.0,0.2073170731707317,17,65,-9.56,0.64,-8.92,101.6,111.6,-10.0,95.6,0.292,0.29,0.509,0.46,12.5,23.1,0.228,0.523,11.6,74.7,0.20199999999999999,STAPLES Center,778877,18997
30.0,2015-2016,Philadelphia 76ers,0,23.3,10.0,72.0,0.12195121951219512,16,66,-10.23,0.31,-9.92,98.8,109.2,-10.4,97.9,0.26899999999999996,0.327,0.519,0.48700000000000004,14.8,20.6,0.18600000000000003,0.51,13.5,74.0,0.24,Wells Fargo Center,614650,14991
1.0,2016-2017,Golden State Warriors,1,28.2,67.0,15.0,0.8170731707317073,67,15,11.63,-0.28,11.35,115.6,104.0,11.6,99.8,0.259,0.359,0.597,0.563,13.2,22.8,0.204,0.486,13.5,74.9,0.198,Oracle Arena,803436,19596
2.0,2016-2017,San Antonio Spurs,1,29.6,61.0,21.0,0.7439024390243902,60,22,7.2,-0.06,7.13,111.1,103.5,7.6,94.2,0.263,0.281,0.564,0.524,12.6,24.0,0.21,0.49200000000000005,13.5,77.6,0.192,AT&T Center,755347,18423
3.0,2016-2017,Houston Rockets,1,27.4,55.0,27.0,0.6707317073170732,55,27,5.77,0.08,5.84,114.7,109.0,5.7,100.0,0.304,0.462,0.583,0.545,13.3,24.6,0.233,0.519,13.2,75.8,0.19399999999999998,Toyota Center,695903,16973
4.0,2016-2017,Los Angeles Clippers,1,30.0,51.0,31.0,0.6219512195121951,52,30,4.29,0.13,4.42,112.7,108.2,4.5,96.1,0.312,0.32899999999999996,0.574,0.537,12.0,21.5,0.233,0.506,12.1,76.9,0.21100000000000002,STAPLES Center,782609,19088
5.0,2016-2017,Utah Jazz,1,26.8,51.0,31.0,0.6219512195121951,52,30,3.94,0.06,4.0,109.6,105.3,4.3,91.6,0.28800000000000003,0.327,0.563,0.526,13.2,23.2,0.215,0.493,11.8,78.9,0.195,Vivint Smart Home Arena,806142,19662
6.0,2016-2017,Toronto Raptors,1,26.1,51.0,31.0,0.6219512195121951,52,30,4.21,-0.56,3.65,112.3,107.8,4.5,94.7,0.293,0.289,0.561,0.517,11.8,25.0,0.233,0.507,13.5,76.3,0.223,Air Canada Centre,813050,19830
7.0,2016-2017,Cleveland Cavaliers,1,29.2,51.0,31.0,0.6219512195121951,49,33,3.18,-0.31,2.87,113.6,110.3,3.3,96.2,0.275,0.39899999999999997,0.58,0.547,12.6,21.9,0.20600000000000002,0.516,11.4,75.8,0.174,Quicken Loans Arena,843042,20562
8.0,2016-2017,Boston Celtics,1,25.9,53.0,29.0,0.6463414634146342,48,34,2.63,-0.39,2.25,111.2,108.4,2.8,96.8,0.273,0.39299999999999996,0.5670000000000001,0.525,12.2,21.2,0.22,0.503,12.6,75.3,0.223,TD Garden,760690,18553
9.0,2016-2017,Washington Wizards,1,26.0,49.0,33.0,0.5975609756097561,46,36,1.8,-0.45,1.36,111.2,109.3,1.9,97.4,0.254,0.284,0.564,0.528,12.8,24.1,0.19899999999999998,0.524,13.8,75.5,0.213,Verizon Center,697107,17003
10.0,2016-2017,Oklahoma City Thunder,1,24.7,47.0,35.0,0.573170731707317,43,39,0.76,0.39,1.14,108.3,107.5,0.8,97.8,0.295,0.295,0.54,0.5,13.2,27.9,0.22,0.511,12.5,79.0,0.218,Chesapeake Energy Arena,746323,18203
11.0,2016-2017,Memphis Grizzlies,1,29.5,43.0,39.0,0.524390243902439,42,40,0.49,0.47,0.96,107.7,107.1,0.6,92.3,0.28,0.316,0.535,0.491,12.1,24.8,0.21899999999999997,0.506,13.6,77.5,0.256,FedEx Forum,677314,16520
12.0,2016-2017,Miami Heat,0,26.5,41.0,41.0,0.5,44,38,1.06,-0.29,0.77,107.8,106.7,1.1,95.2,0.251,0.314,0.541,0.512,12.4,24.2,0.177,0.496,12.6,76.4,0.22,AmericanAirlines Arena,805400,19644
13.0,2016-2017,Denver Nuggets,0,25.2,40.0,42.0,0.4878048780487805,42,40,0.51,0.19,0.7,113.2,112.7,0.5,98.3,0.276,0.32899999999999996,0.568,0.53,13.2,27.3,0.214,0.532,10.9,78.7,0.19399999999999998,Pepsi Center,605585,14672
14.0,2016-2017,Chicago Bulls,1,26.9,41.0,41.0,0.5,42,40,0.43,-0.39,0.03,107.4,107.0,0.4,95.3,0.259,0.256,0.53,0.48700000000000004,12.3,27.0,0.20600000000000002,0.507,12.4,76.8,0.16899999999999998,United Center,888882,21680
15.0,2016-2017,Charlotte Hornets,0,26.5,36.0,46.0,0.43902439024390244,42,40,0.2,-0.26,-0.07,108.8,108.6,0.2,95.7,0.27899999999999997,0.335,0.547,0.501,10.7,19.9,0.22699999999999998,0.523,12.1,79.6,0.16399999999999998,Spectrum Center,710643,17333
16.0,2016-2017,Portland Trail Blazers,1,24.8,41.0,41.0,0.5,40,42,-0.52,0.3,-0.23,110.3,110.8,-0.5,96.7,0.275,0.322,0.5589999999999999,0.52,12.5,23.0,0.214,0.508,11.6,76.8,0.24100000000000002,Moda Center,792029,19318
17.0,2016-2017,Milwaukee Bucks,1,25.6,42.0,40.0,0.5121951219512195,40,42,-0.18,-0.26,-0.45,109.1,109.3,-0.2,94.5,0.27399999999999997,0.29,0.565,0.527,13.2,21.5,0.21,0.518,13.6,75.4,0.215,BMO Harris Bradley Center,648952,15828
18.0,2016-2017,Indiana Pacers,1,27.0,42.0,40.0,0.5121951219512195,40,42,-0.22,-0.42,-0.64,108.6,108.8,-0.2,95.9,0.261,0.272,0.5579999999999999,0.516,12.8,21.2,0.212,0.512,13.6,75.5,0.225,Bankers Life Fieldhouse,684578,16697
19.0,2016-2017,Minnesota Timberwolves,0,24.0,31.0,51.0,0.3780487804878049,38,44,-1.11,0.47,-0.64,110.8,112.0,-1.2,94.6,0.287,0.249,0.555,0.511,12.9,27.2,0.22899999999999998,0.535,13.2,75.9,0.212,Target Center,607203,14810
20.0,2016-2017,Atlanta Hawks,1,27.9,43.0,39.0,0.524390243902439,39,43,-0.85,-0.38,-1.23,104.9,105.7,-0.8,97.4,0.295,0.309,0.541,0.504,14.2,23.6,0.215,0.507,13.8,76.1,0.179,Philips Arena,654306,15959
21.0,2016-2017,Detroit Pistons,0,25.4,37.0,45.0,0.45121951219512196,38,44,-1.12,-0.17,-1.29,106.0,107.1,-1.1,95.0,0.218,0.263,0.521,0.49200000000000005,10.9,24.1,0.157,0.516,12.1,81.2,0.19699999999999998,The Palace of Auburn Hills,655141,15979
22.0,2016-2017,New Orleans Pelicans,0,25.7,34.0,48.0,0.4146341463414634,35,47,-2.1,0.41,-1.69,105.2,107.4,-2.2,98.0,0.256,0.308,0.539,0.504,11.7,18.5,0.192,0.509,12.4,76.8,0.177,Smoothie King Center,663099,16173
23.0,2016-2017,Dallas Mavericks,0,27.6,33.0,49.0,0.4024390243902439,33,49,-2.93,0.4,-2.53,105.6,108.8,-3.2,92.2,0.225,0.366,0.541,0.505,11.6,18.1,0.18,0.529,14.4,77.6,0.218,American Airlines Center,811366,19789
24.0,2016-2017,Sacramento Kings,0,27.9,32.0,50.0,0.3902439024390244,31,51,-3.88,0.58,-3.29,107.3,111.3,-4.0,94.9,0.284,0.29100000000000004,0.556,0.516,13.7,21.0,0.22,0.528,12.9,76.3,0.22699999999999998,Golden 1 Center,721928,17608
25.0,2016-2017,New York Knicks,0,27.3,31.0,51.0,0.3780487804878049,31,51,-3.67,-0.2,-3.87,107.7,111.5,-3.8,96.0,0.239,0.27899999999999997,0.534,0.496,12.4,26.6,0.188,0.511,11.7,74.1,0.214,Madison Square Garden (IV),810741,19774
